folds,scores
2,0.3374831537319094
12,0.25855857755557127
22,0.2279192414574404
32,0.20641141137702862
42,0.17476440721741165
52,0.16876738908954567
62,0.17005788840031102
72,0.16405086202999197
82,0.16804524500876364
92,0.16158320173718452
102,0.15764797958710236
112,0.14913463409258773
122,0.14998652357880662
132,0.13870184734671762
142,0.13927857262588716
152,0.14344514647467876
162,0.14100156261965394
172,0.13606376373444723
182,0.13548213153785926
192,0.13787282359019679
202,0.13364017798720015
212,0.13815093263764852
222,0.13027631227306244
232,0.13354402259350978
242,0.12522081734828686
252,0.1259574241060458
262,0.12513573460224248
272,0.1223797290991433
282,0.12356417530544006
292,0.11620576069549048
302,0.11538730960740284
312,0.11476712771791019
322,0.11811704128113319
332,0.11482275296707457
342,0.11339701272789131
352,0.1212955703087744
362,0.11822255136385695
372,0.11293789921800104
382,0.11845818767845175
