folds,mean_rmse
2,0.3558681020311687
12,0.36623193064075815
22,0.3517327701752091
32,0.3394245901533719
42,0.33638581075405743
52,0.3291058806889791
62,0.32323103027866024
72,0.31757872202200715
82,0.313295039386097
92,0.31279870692580725
102,0.3103573283931283
112,0.30138196132654593
122,0.3076456092323637
132,0.30396320326738013
142,0.2997520843770331
152,0.29343734119269643
162,0.28777300199846384
172,0.2897787389971193
182,0.2939412798784669
192,0.2919731266631577
202,0.28806789741751193
212,0.2855634168752719
222,0.27804280266398196
232,0.2762178579070878
242,0.2688315267988347
252,0.26274835450792233
262,0.26213317035523326
272,0.2561681509021453
282,0.2537318409583288
292,0.25345078629355466
302,0.2550463905088045
312,0.2590726209534282
322,0.25932708016319517
332,0.25854933817686454
342,0.25969016062262756
352,0.26586141372849054
362,0.26319666357615135
372,0.2620361828225249
382,0.26357180129283864
