model_name,mse,test_train_split
SVM,0.0567691652785939,0.1
SVM,0.0606272922043219,0.2
SVM,0.1019864346430017,0.3
SVM,0.1023764833382442,0.4
SVM,0.0873635965728745,0.5
SVM,0.0802020800646231,0.6
SVM,0.0758387567689546,0.7
SVM,0.0727486838399699,0.8
SVM,0.1074592333010564,0.9
MLP,0.0473804850925404,0.1
MLP,0.0405271299229923,0.2
MLP,0.0603613710550633,0.3
MLP,0.0672240776734377,0.4
MLP,0.058906922658987,0.5
MLP,0.054739248193028,0.6
MLP,0.0524932964248181,0.7
MLP,0.0675384719016456,0.8
MLP,0.1090251777889684,0.9
RF,0.0468078135524358,0.1
RF,0.0760600678182824,0.2
RF,0.1018153609409565,0.3
RF,0.1088746423178474,0.4
RF,0.0896737943961497,0.5
RF,0.1085227658746087,0.6
RF,0.1121317942210399,0.7
RF,0.124410439735754,0.8
RF,0.1748751192133152,0.9
ET,0.0620352946720448,0.1
ET,0.0569902330789058,0.2
ET,0.0741220645900217,0.3
ET,0.0755913411481266,0.4
ET,0.0806866135594427,0.5
ET,0.0748459741383011,0.6
ET,0.0872299900777964,0.7
ET,0.0840623715209991,0.8
ET,0.2020802888296703,0.9
GBT,0.07973423108437153,0.1
GBT,0.045413801294851314,0.2
GBT,0.050024230249224165,0.3
GBT,0.04893375989704167,0.4
GBT,0.0454177880313121,0.5
GBT,0.05855421566248601,0.6
GBT,0.09179969478943864,0.7
GBT,0.12041158825442277,0.8
GBT,0.10475715970487427,0.9
