model_name,mse,test_train_split,rmse,r2
RF,0.0598015971451494,0.1,0.2317894866630467,0.8812318469669661
RF,0.0410685746505154,0.2,0.1954346850729763,0.908317253053464
RF,0.051689987215313,0.3,0.2244171221054104,0.9002985907204912
RF,0.0626473481859003,0.4,0.2488665980509826,0.874312712826003
RF,0.0623221241604675,0.5,0.2477416977379757,0.8807222482119264
RF,0.0858316185140389,0.6,0.28985243241964,0.8380600249894687
RF,0.074956656904452,0.7,0.2725010976915907,0.8535774499278761
RF,0.1048081709715478,0.8,0.3225046726910208,0.7942463225745708
RF,0.1826354704346684,0.9,0.4238292255553839,0.6431235154551207
ET,0.050592838608475,0.1,0.2169490328795034,0.8994534655683643
ET,0.0408626088796234,0.2,0.1979027997690263,0.9209871956308862
ET,0.0514614403930388,0.3,0.2246456501719622,0.9060966577977846
ET,0.0503720938808563,0.4,0.2223247174920256,0.9063028650719372
ET,0.0563006929291558,0.5,0.2363074724596994,0.8917037031782045
ET,0.05890854567817,0.6,0.2411139669605311,0.8867768981508497
ET,0.0718576724461327,0.7,0.2643117182403179,0.8629677661342658
ET,0.1119038423755582,0.8,0.3306432738192854,0.7908758061207164
ET,0.1641830102044393,0.9,0.3985008443906762,0.6890904595473268
GBT,0.034431972516425,0.1,0.1757761996310743,0.937926088097474
GBT,0.0399808240854452,0.2,0.1951779241222372,0.9216009295684324
GBT,0.0409759094173712,0.3,0.1987305907343821,0.9244785004951293
GBT,0.0514437535953163,0.4,0.2229420414527335,0.9005035592909787
GBT,0.0573087531422842,0.5,0.2362660798856744,0.8844678733348903
GBT,0.0596503289251211,0.6,0.2414017633662556,0.8824377153200524
GBT,0.071236183798755,0.7,0.264140612331981,0.8629699769209729
GBT,0.0980816798327282,0.8,0.3071316568257609,0.807278147928522
GBT,0.1653615090950027,0.9,0.4016044998029747,0.691336848184239
SVM,0.0461377152660267,0.1,0.2069403080230581,0.9048754316612844
SVM,0.0375574273599639,0.2,0.1909557078628953,0.9267503830538738
SVM,0.0477909840669149,0.3,0.216717972982537,0.9038297122980954
SVM,0.0513145546448724,0.4,0.2238799699038035,0.9004498065323343
SVM,0.0533297639509637,0.5,0.2286980386601392,0.8940301516689335
SVM,0.0618569020567385,0.6,0.2482250690269048,0.8784943163957978
SVM,0.0625207838946677,0.7,0.2486075715749637,0.8803944108765341
SVM,0.0716496619878817,0.8,0.2673924671842494,0.8633493631848419
SVM,0.0992033971275395,0.9,0.3132710635117615,0.812810994031477
MLP,0.03616275789658233,0.1,0.17671408733342991,0.9029380581145852
MLP,0.03961797219672093,0.2,0.1952113354050605,0.9189558176292628
MLP,0.03955302918514872,0.3,0.19709443846801306,0.9247148112658665
MLP,0.044438682623379216,0.4,0.2098617451527033,0.9133766130779046
MLP,0.04953855505637088,0.5,0.22018074177172445,0.8976461859435755
MLP,0.05681669424536322,0.6,0.23626827654604327,0.8935526891105707
MLP,0.06147089750480753,0.7,0.2473477148975877,0.8841750134152372
MLP,0.07414905886274617,0.8,0.27115922929945835,0.8631722069798158
MLP,0.10754823324999432,0.9,0.3226630543332012,0.7928203602498748
