name,mse_noisy,mse_clean,noise_level
SVM,0.0218902792238044,0.0218902792238044,0.0
SVM,0.3126468605846424,0.0218902792238044,0.1
SVM,0.3954422599511943,0.0218902792238044,0.2
SVM,0.512833176929779,0.0218902792238044,0.3
SVM,0.5831878704943837,0.0218902792238044,0.4
SVM,0.6866770423894136,0.0218902792238044,0.5
SVM,0.6773236052075856,0.0218902792238044,0.6
SVM,0.6997802160059664,0.0218902792238044,0.7
SVM,0.6810436353096871,0.0218902792238044,0.8
SVM,0.8233455684262013,0.0218902792238044,0.9
SVM,0.8308212578908198,0.0218902792238044,1.0
RF,0.0487495212397924,0.0542537908176227,0.0
RF,0.250907010417421,0.0621815243630981,0.1
RF,0.3280380373429119,0.0498416853506384,0.2
RF,0.3255228594594264,0.0472936062328035,0.3
RF,0.3617499183355678,0.0468611582289575,0.4
RF,0.3720566559371393,0.0478537111420781,0.5
RF,0.3768833829789067,0.0516773277074843,0.6
RF,0.3875513659826539,0.049962694311183,0.7
RF,0.394845511098369,0.0425560658376026,0.8
RF,0.3892059819864514,0.0691341049432655,0.9
RF,0.3824485472998838,0.0512127385855334,1.0
GBT,0.0489688390763421,0.0489533452776528,0.0
GBT,0.2111860443844223,0.0489688390763421,0.1
GBT,0.308499631407801,0.0489533452776528,0.2
GBT,0.3549607602056809,0.0489533452776528,0.3
GBT,0.3655627336261877,0.0489533452776527,0.4
GBT,0.380125273699163,0.0489533452776527,0.5
GBT,0.3785580256590921,0.0489688390763421,0.6
GBT,0.3982100156876658,0.0489533452776528,0.7
GBT,0.4182031342827622,0.0489533452776527,0.8
GBT,0.4078116495508503,0.0489688390763421,0.9
GBT,0.4209281460202753,0.0489688390763421,1.0
ET,0.0276433727135,0.0260684588976205,0.0
ET,0.2123113054960788,0.0250106143080357,0.1
ET,0.2813345387895515,0.0299402833303459,0.2
ET,0.3376719522225598,0.0392141278289553,0.3
ET,0.3525119969138237,0.0252495785109241,0.4
ET,0.348110984345241,0.0317675320342142,0.5
ET,0.336056747952722,0.0302989115880334,0.6
ET,0.3412554111115793,0.0342512220607946,0.7
ET,0.3480206952565838,0.0231644885153928,0.8
ET,0.3423398402578111,0.04948450046875,0.9
ET,0.3576982831522237,0.0287122149325915,1.0
MLP,0.03601358339154722,0.03601358339154722,0.0
MLP,0.3970975434847118,0.03601358339154722,0.1
MLP,0.5353266533020795,0.03601358339154722,0.2
MLP,0.5621205583810949,0.03601358339154722,0.3
MLP,0.578911170719465,0.03601358339154722,0.4
MLP,0.6316739422570724,0.03601358339154722,0.5
MLP,0.630384518420674,0.03601358339154722,0.6
MLP,0.6281197291201241,0.03601358339154722,0.7
MLP,0.6293879293098105,0.03601358339154722,0.8
MLP,0.6178892579117778,0.03601358339154722,0.9
MLP,0.6197747173947264,0.03601358339154722,1.0
